model,nb_input_token,temperature,top_p,top_k,nb_user,gpu_model,gpu_fp32_tflops,gpu_memory_gib,gpu_num,model_num_params,nb_output_token,inference_time
gemma3:12b,1373,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,56,2.779
gemma3:12b,2347,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,96,4.777
gemma3:12b,2347,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,124,5.855
gemma3:12b,2347,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,124,5.851
gemma3:12b,2354,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,124,5.822
gemma3:12b,2347,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,124,5.866
gemma3:12b,2488,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,40,3.17
gemma3:12b,2719,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,71,4.198
gemma3:12b,2488,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,40,3.15
gemma3:12b,2488,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,40,3.129
gemma3:12b,2495,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,46,3.214
gemma3:12b,2807,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,31,3.502
gemma3:12b,2579,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,90,4.838
gemma3:12b,3747,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,45,2.055
gemma3:12b,2566,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,143,6.636
gemma3:12b,2566,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,144,6.669
gemma3:12b,2566,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,144,6.663
gemma3:12b,3830,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,53,1.686
gemma3:12b,3913,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,34,1.417
gemma3:12b,4840,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,67,1.927
gemma3:12b,4937,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,106,2.327
gemma3:12b,5055,0.0,0.9,10,5,NVIDIA GH200,67.0,96.0,1,12200000000,50,1.784
gemma3:12b,1235,0.0,0.9,10,5,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,48,2.592
gemma3:12b,1235,0.0,0.9,10,5,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,48,2.435
gemma3:12b,1235,0.0,0.9,10,5,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,48,6.995
gemma3:12b,1235,0.0,0.9,10,5,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,48,7.108
gemma3:12b,1301,0.0,0.9,10,5,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,48,2.519
gemma3:12b,1301,0.0,0.9,10,5,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,48,2.491
gemma3:12b,1235,0.0,0.9,10,5,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,48,6.922
gemma3:12b,1366,0.0,0.9,10,5,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,56,2.699
gemma3:12b,1366,0.0,0.9,10,5,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,56,2.683
gemma3:12b,1301,0.0,0.9,10,5,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,48,1.716
gemma3:12b,1301,0.0,0.9,10,5,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,48,1.743
gemma3:12b,1301,0.0,0.9,10,5,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,48,1.743
gemma3:12b,1366,0.0,0.9,10,5,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,56,1.774
gemma3:12b,1366,0.0,0.9,10,5,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,56,1.792
gemma3:12b,1366,0.0,0.9,10,5,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,56,1.84
gemma3:12b,2347,0.0,0.9,10,5,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,124,4.889
gemma3:12b,2347,0.0,0.9,10,5,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,123,4.886
gemma3:12b,2347,0.0,0.9,10,5,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,124,3.24
gemma3:12b,2347,0.0,0.9,10,5,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,124,3.195
gemma3:12b,2347,0.0,0.9,10,5,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,126,3.286
gemma3:12b,2488,0.0,0.9,10,5,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,40,2.024
gemma3:12b,2488,0.0,0.9,10,5,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,33,1.857
gemma3:12b,2488,0.0,0.9,10,5,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,33,3.05
gemma3:12b,2487,0.0,0.9,10,5,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,41,3.162
gemma3:12b,2490,0.0,0.9,10,5,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,40,1.984
gemma3:12b,2566,0.0,0.9,10,5,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,142,3.483
gemma3:12b,2559,0.0,0.9,10,5,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,143,3.559
gemma3:12b,2568,0.0,0.9,10,5,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,144,3.594
gemma3:12b,2566,0.0,0.9,10,5,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,144,5.35
gemma3:12b,2559,0.0,0.9,10,5,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,181,6.084
gemma3:12b,1235,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,48,4.093
gemma3:12b,1235,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,48,4.04
gemma3:12b,1235,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,48,3.965
gemma3:12b,1235,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,48,4.036
gemma3:12b,1235,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,48,3.674
gemma3:12b,1235,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,48,3.272
gemma3:12b,1235,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,48,2.992
gemma3:12b,1235,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,48,3.302
gemma3:12b,1235,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,48,2.325
gemma3:12b,1235,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,57,3.115
gemma3:12b,1301,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,48,4.076
gemma3:12b,1301,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,53,4.263
gemma3:12b,1301,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,53,4.255
gemma3:12b,1301,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,53,4.211
gemma3:12b,1301,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,53,4.228
gemma3:12b,1301,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,53,4.155
gemma3:12b,1301,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,53,4.313
gemma3:12b,1301,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,53,4.157
gemma3:12b,1301,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,53,4.209
gemma3:12b,1310,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,71,6.31
gemma3:12b,1416,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,46,4.157
gemma3:12b,1366,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,56,4.551
gemma3:12b,1398,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,61,3.223
gemma3:12b,1416,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,111,7.22
gemma3:12b,2344,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,48,3.1
gemma3:12b,1416,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,112,7.266
gemma3:12b,1416,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,112,7.283
gemma3:12b,1416,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,122,7.525
gemma3:12b,1416,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,125,7.851
gemma3:12b,1416,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,123,7.962
gemma3:12b,1416,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,125,9.169
gemma3:12b,2347,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,81,8.02
gemma3:12b,2384,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,123,8.942
gemma3:12b,2409,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,73,7.158
gemma3:12b,2410,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,71,7.095
gemma3:12b,2422,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,71,6.444
gemma3:12b,2423,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,71,6.577
gemma3:12b,2410,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,73,7.164
gemma3:12b,2420,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,73,6.902
gemma3:12b,2424,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,71,5.302
gemma3:12b,2668,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,119,12.42
gemma3:12b,2498,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,38,6.328
gemma3:12b,2499,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,40,6.36
gemma3:12b,2510,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,38,6.335
gemma3:12b,2500,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,39,6.31
gemma3:12b,2510,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,40,6.332
gemma3:12b,2511,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,40,6.333
gemma3:12b,2512,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,40,6.315
gemma3:12b,2524,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,46,6.497
gemma3:12b,2704,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,127,8.916
gemma3:12b,2804,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,40,1.696
gemma3:12b,2577,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,36,6.865
gemma3:12b,2588,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,36,6.854
gemma3:12b,2589,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,36,6.864
gemma3:12b,2848,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,38,7.021
gemma3:12b,3745,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,39,6.491
gemma3:12b,2574,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,86,12.012
gemma3:12b,2586,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,81,12.062
gemma3:12b,3525,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,52,5.78
gemma3:12b,3514,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,52,5.78
gemma3:12b,3526,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,51,5.758
gemma3:12b,3822,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,63,7.898
gemma3:12b,2590,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,125,15.26
gemma3:12b,3795,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,75,8.083
gemma3:12b,3596,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,43,4.668
gemma3:12b,3607,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,52,4.866
gemma3:12b,3607,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,52,4.891
gemma3:12b,3908,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,46,4.808
gemma3:12b,3669,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,43,4.737
gemma3:12b,3689,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,52,4.78
gemma3:12b,3689,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,51,4.826
gemma3:12b,2577,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,251,25.681
gemma3:12b,3984,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,51,5.566
gemma3:12b,4634,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,50,5.559
gemma3:12b,2608,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,302,27.901
gemma3:12b,4633,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,59,5.693
gemma3:12b,4605,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,83,8.329
gemma3:12b,4928,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,61,4.911
gemma3:12b,4722,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,42,3.43
gemma3:12b,4714,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,80,5.966
gemma3:12b,5019,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,80,3.912
gemma3:12b,4774,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,133,3.772
gemma3:12b,4919,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,97,4.025
gemma3:12b,5185,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,154,4.231
gemma3:12b,6215,0.0,0.9,10,10,NVIDIA GH200,67.0,96.0,1,12200000000,244,4.478
gemma3:12b,1235,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,48,2.631
gemma3:12b,1235,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,48,2.579
gemma3:12b,1235,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,48,2.561
gemma3:12b,1235,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,48,2.207
gemma3:12b,1235,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,48,2.635
gemma3:12b,1235,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,48,2.583
gemma3:12b,1235,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,48,3.266
gemma3:12b,1235,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,48,2.997
gemma3:12b,1235,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,48,2.862
gemma3:12b,1235,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,48,1.892
gemma3:12b,1301,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,48,2.551
gemma3:12b,1301,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,53,2.564
gemma3:12b,1301,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,48,2.508
gemma3:12b,1301,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,53,2.626
gemma3:12b,1301,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,55,3.227
gemma3:12b,1301,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,55,3.208
gemma3:12b,1301,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,55,2.171
gemma3:12b,1301,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,53,3.286
gemma3:12b,1301,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,53,3.2
gemma3:12b,1301,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,53,3.098
gemma3:12b,1366,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,56,2.671
gemma3:12b,1366,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,56,2.686
gemma3:12b,1373,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,56,3.417
gemma3:12b,1373,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,56,3.414
gemma3:12b,1373,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,56,3.026
gemma3:12b,1416,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,112,4.349
gemma3:12b,1416,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,109,4.378
gemma3:12b,1416,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,112,4.972
gemma3:12b,1416,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,112,4.947
gemma3:12b,1416,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,122,5.103
gemma3:12b,2347,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,124,4.76
gemma3:12b,2410,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,71,3.012
gemma3:12b,2347,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,124,4.717
gemma3:12b,2407,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,71,2.978
gemma3:12b,2498,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,38,3.145
gemma3:12b,2488,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,40,3.188
gemma3:12b,2354,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,124,6.335
gemma3:12b,2488,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,40,3.149
gemma3:12b,2495,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,40,3.158
gemma3:12b,2354,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,124,6.331
gemma3:12b,2354,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,124,6.295
gemma3:12b,2410,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,73,5.167
gemma3:12b,2410,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,73,5.156
gemma3:12b,2420,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,73,5.023
gemma3:12b,2573,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,36,3.113
gemma3:12b,2495,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,44,4.366
gemma3:12b,2495,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,46,4.382
gemma3:12b,2495,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,46,4.376
gemma3:12b,2574,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,80,4.086
gemma3:12b,2500,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,40,4.376
gemma3:12b,2510,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,40,4.349
gemma3:12b,2500,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,40,4.366
gemma3:12b,2566,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,143,4.944
gemma3:12b,3510,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,49,2.839
gemma3:12b,2566,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,143,6.269
gemma3:12b,3589,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,51,2.621
gemma3:12b,2588,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,36,4.332
gemma3:12b,2578,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,36,4.349
gemma3:12b,2577,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,90,5.621
gemma3:12b,2579,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,121,6.326
gemma3:12b,2579,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,123,6.348
gemma3:12b,3670,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,60,2.748
gemma3:12b,2578,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,109,8.357
gemma3:12b,3515,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,52,4.557
gemma3:12b,3525,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,55,4.634
gemma3:12b,4623,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,50,3.004
gemma3:12b,4703,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,50,3.028
gemma3:12b,3597,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,47,4.181
gemma3:12b,3610,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,46,4.143
gemma3:12b,4783,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,67,3.287
gemma3:12b,3686,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,46,4.284
gemma3:12b,3674,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,47,4.371
gemma3:12b,4614,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,63,5.365
gemma3:12b,4625,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,80,5.641
gemma3:12b,4791,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,46,3.699
gemma3:12b,4707,0.0,0.9,10,10,NVIDIA A100-SXM4-40GB,19.49,40.0,4,12200000000,76,5.45
